mean,count,std,ci95_high,ci95_low,ci90_high,ci90_low
3.083582089552239,335,0.8470796989922038,4.735387502587036,1.4317766765174413,4.481263592889375,1.6859005862151026
3.1538461538461537,156,0.8587601426651523,4.828428432043201,1.4792638756491068,4.570800389243655,1.7368919184486524
4.0,2,0.0,4.0,4.0,4.0,4.0
,0,,,0.0,,0.0
,0,,,0.0,,0.0
,0,,,0.0,,0.0
2.357142857142857,14,0.7449463436684919,3.8097882272964165,0.9044974869892981,3.5863043241958685,1.1279813900898457
2.3934426229508197,61,0.9535667871136969,4.2528978578225285,0.5339873880791108,3.9668278216884194,0.8200574242132199
2.5833333333333335,12,0.6685579234215213,3.8870212840053,1.279645382661367,3.6864539069788433,1.4802127596878234
3.5,12,0.9045340337332906,5.263841365779917,1.7361586342200834,4.992481155659929,2.007518844340071
3.1983471074380163,121,0.87196936787504,4.898687374794344,1.4980068400816884,4.6370965644318325,1.7595976504442004
3.4,15,0.6324555320336759,4.633288287465668,2.1667117125343323,4.443551627855565,2.3564483721444347
2.660899653979239,289,0.826572924141295,4.272716856054764,1.0490824519037136,4.024744978812375,1.297054329146102
2.589861751152074,217,0.8620005152006455,4.270762755793332,0.9089607465108152,4.012162601233139,1.1675609010710088
2.7191011235955056,89,1.033405271694946,4.734241403400651,0.7039608437903611,4.424219821892167,1.0139824252988447
3.0869565217391304,69,0.8178006810734474,4.681667849832353,1.492245193645908,4.436327645510318,1.7375853979679423
3.154639175257732,194,0.8678507331549925,4.846948104909967,1.4623302456054965,4.586592884963469,1.7226854655519943
2.8095238095238093,21,0.8728715609439694,4.51162335336455,1.1074242656830688,4.249761885081359,1.3692857339662599
2.9545454545454546,176,0.8337055445809,4.58027126647821,1.3288196426126997,4.330159603103939,1.5789313059869696
2.5833333333333335,108,0.9964891641185104,4.526487203364429,0.6401794633022382,4.227540454128875,0.9391262125377915
2.7058823529411766,51,0.9652795998478125,4.588177572644411,0.8235871332379423,4.298593692690067,1.113171013192286
2.272727272727273,11,0.9045340337332909,4.03656863850719,0.5088859069473557,3.7652084283872025,0.7802461170673431
2.873015873015873,63,0.8130401627198969,4.458444190319672,1.2875875557120742,4.214532141503703,1.5314996045280433
4.0,2,0.0,4.0,4.0,4.0,4.0
