,Country,"(0.0, 25.0]","(25.0, 50.0]","(50.0, inf]",P,S,T,Academian/Administration,Medical Professionals,Female,Male
f,Algeria,0,1,0,0,0,0,1,0,0,1
f,Argentina,0,0,1,0,0,0,0,1,0,1
f,Australia,0,1,1,0,0,1,1,1,2,0
f,Bangladesh,332,150,0,0,42,204,145,337,227,255
f,Bosnia & Herzegowina,13,8,3,0,5,14,24,0,12,12
f,Brazil,6,4,0,0,4,2,10,0,8,2
f,Canada,0,3,0,0,0,2,2,1,2,1
f,Chile,0,2,1,0,0,1,0,3,1,2
f,China,381,245,86,106,32,565,564,148,324,388
f,Colombia,4,7,1,0,0,4,0,12,5,7
f,Congo,0,1,0,0,1,0,0,1,1,0
f,Egypt,0,0,1,0,0,1,0,1,1,0
f,England,0,8,3,0,0,3,3,8,3,8
f,Falkland Islands,0,1,0,0,0,0,0,1,0,1
f,Finland,0,1,0,0,0,1,1,0,1,0
f,Germany,0,4,0,0,0,3,3,1,3,1
f,Ghana,25,10,0,0,3,24,22,13,28,7
f,Hong Kong,0,1,0,0,0,1,1,0,0,1
f,Hungary,0,3,0,0,2,1,3,0,1,2
f,India,3,8,0,0,0,5,2,9,8,3
f,Indonesia,0,1,1,0,0,0,1,1,1,1
f,Iran,0,1,0,0,0,0,0,1,0,1
f,Ireland,0,2,0,0,0,1,0,2,1,1
f,Italy,2,2,1,0,0,1,1,4,3,2
f,Japan,14,55,10,0,12,52,59,20,46,33
f,Kazakhstan,0,2,0,0,0,1,2,0,1,1
f,Kenya,0,2,0,0,0,1,1,1,2,0
f,Laos,0,0,1,0,0,1,1,0,0,1
f,Macedonia,0,1,0,0,0,0,1,0,1,0
f,Malawi,0,1,1,0,0,2,2,0,0,2
f,Malaysia,12,117,15,0,2,81,51,93,45,99
f,Mexico,282,198,86,0,77,307,339,227,185,381
f,Morocco,2,2,0,0,0,0,4,0,3,1
f,Myanmar,1,1,0,0,0,2,1,1,0,2
f,Nepal,1,14,0,0,0,5,1,14,6,9
f,Netherlands,0,1,0,0,0,0,1,0,0,1
f,New Zealand,0,2,1,0,1,2,3,0,2,1
f,Nigeria,2,0,0,0,0,0,2,0,1,1
f,Norway,0,7,0,0,0,5,4,3,4,3
f,Oman,0,4,0,0,0,0,1,3,4,0
f,Pakistan,68,193,0,0,7,122,58,203,140,121
f,Philippines,0,1,0,0,0,1,1,0,0,1
f,Portugal,0,0,1,0,0,1,1,0,0,1
f,Qatar,0,1,0,0,0,0,1,0,1,0
f,Saudi Arabia,0,9,0,0,0,5,0,9,5,4
f,Scotland,0,1,0,0,0,1,0,1,0,1
f,Singapore,0,1,0,0,0,0,0,1,0,1
f,South Africa,0,3,0,0,2,0,3,0,3,0
f,South Korea,0,2,0,0,0,2,1,1,2,0
f,Spain,1,1,0,0,0,0,1,1,1,1
f,Thailand,0,6,5,0,0,7,2,9,4,7
f,Turkey,2,34,1,0,0,20,4,33,19,18
f,Uganda,0,1,1,0,0,1,1,1,1,1
f,United Arab Emirates,0,11,0,0,0,4,1,10,7,4
f,United States,174,103,50,0,44,146,233,94,104,223
f,United kingdom ,1,20,9,0,3,9,2,28,11,19
f,Venezuela,0,2,0,0,0,0,0,2,0,2
f,Wales,0,2,0,0,0,1,0,2,0,2
f,Yemen,0,1,0,0,0,0,0,1,1,0
f,Zambia,11,63,2,0,0,42,57,19,46,30
